"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Lcn2",4.53424531547033,4.9758328515939,1.19327848458224,4.16988399261713,3.04754727275776e-05,0.000448786588467019
"2","Ly6g6e",25.1287892316941,4.89376950370096,0.697085109561859,7.02033286405566,2.21340290822375e-12,3.25641682582542e-10
"3","Scarna13",2.78823438366758,4.78888961429818,2.86511006343699,1.67145048820687,0.0946327305471169,0.231642981146176
"4","Gm6644",6.200285677436,3.91259382141222,2.77912890417285,1.40784899021326,0.159175790295915,0.329398414233651
"5","Ccdc68",5.61086444583679,3.82935429577576,1.03379652189795,3.70416635639811,0.000212087047599494,0.00212564107153863
"6","Prnd",5.52019567318761,3.77476935916355,0.987735438278959,3.82164010004617,0.000132567065672936,0.00145011024367224
"7","Drd4",8.02037241013728,3.77400610078183,0.91254070971215,4.13571258861678,3.53854852831713e-05,0.000510487181305326
"8","Fgfbp1",3.93051490095,3.73087528863409,1.22104371701893,3.05548051771864,0.00224700200698106,0.0140844036571019
"9","Gm13749",4.99766161203182,3.68547749584004,1.09023358712379,3.38044758423094,0.00072367876690602,0.00575804610709152
"10","Cldn3",3.62438075826264,3.62128207590601,0.996362211669341,3.63450363080188,0.000278516335365898,0.00266961416719802
"11","Shisa8",14.5047411828621,3.59445254777532,0.732936513035193,4.90417994444046,9.38184558021086e-07,2.37516041921085e-05
"12","Lox",16.7976884579916,3.51384800008046,0.669576585264376,5.24786570709167,1.53871392400443e-07,5.30890346124981e-06
"13","Cytl1",9.3291558165229,3.3477889526694,1.12746187203788,2.96931456016183,0.00298464895694106,0.017511512597252
"14","9130024F11Rik",2.76904640330119,3.21076638678542,1.66814057230152,1.92475768535235,0.0542596800289642,0.155290825849091
"15","Hist1h3d",5.4184177650803,3.16910345131542,0.79195340521533,4.00162866962325,6.29079703060842e-05,0.000800856977080312
"16","Tac2",52.1228627743817,3.1623162453457,0.48605100787688,6.50614070148526,7.71060114186634e-11,7.63287885485779e-09
"17","Aplnr",9.38834927367501,3.1033148305054,0.925383098631955,3.35354604497662,0.000797831380632075,0.00624607448843233
"18","Rbp3",7.08763895382081,3.08506806563931,0.707103124757409,4.36296766005344,1.2830991690037e-05,0.000216557700655981
"19","Stac",15.4332250862294,3.08450442149402,0.812487320663466,3.79637237781786,0.000146828896045137,0.00157374339094427
"20","Penk",1304.37032074021,2.95702769952145,0.556456072201471,5.31403617867399,1.07223316058847e-07,3.91603656659889e-06
"21","Rmrp",8.98449781687544,2.95075100017885,1.03766392095486,2.84364806426301,0.0044600281438905,0.0240671760913399
"22","Slc6a4",5.44396527489675,2.93757065987342,0.813612470130956,3.61052806798869,0.000305574229766002,0.00287247143652851
"23","Cwh43",3.91363038812512,2.8967295850326,1.03952601714004,2.78658690332938,0.00532663335536689,0.0276159731306338
"24","Prlr",186.152253467195,2.85350131255607,0.445918240511146,6.3991580817263,1.56236023569566e-10,1.39860867236031e-08
"25","Lypd8",2.97654844840591,2.84727271230146,0.938810526769615,3.03285128480476,0.00242254954008834,0.0149020976155162
"26","Krt75",2.86469488342718,2.80220129798016,1.1816470962294,2.37143670637527,0.0177190812365795,0.0678607740384226
"27","Akr1c18",7.27838130235545,2.77290168765916,0.75410764836471,3.67706347186933,0.000235934349926336,0.00232725881537078
"28","Serpina9",4.26871941789354,2.72654321404181,1.04365351774511,2.61249846590151,0.00898830957078612,0.041142555842797
"29","Grin3b",3.14886687293666,2.57476044721832,0.857506201037379,3.00261437655316,0.00267671368582041,0.0160798728545336
"30","Slc38a5",254.384886268133,2.57188542439309,0.464220156860649,5.54022781299678,3.02078415246717e-08,1.34214042329702e-06
"31","Nts",5.07013583728226,2.55420053772556,1.15652036032338,2.20852189494647,0.0272079132543169,0.093254375209027
"32","Rxfp1",5.5717709132482,2.53397543604332,0.805301309687107,3.1466178007681,0.00165170711267267,0.0111075344640493
"33","Nptx2",654.387044474379,2.4966252718144,0.570161873923794,4.37880080376628,1.19334143702441e-05,0.000206092577080794
"34","Lrrc38",2.92517686800095,2.40384871634079,0.964610382775352,2.49204109686701,0.0127011340429627,0.0529645389803636
"35","Col3a1",72.504779240243,2.31951468390934,0.662699209034799,3.50010178416787,0.000465080539147259,0.00403617595081078
"36","Cd1d1",14.8301537716968,2.30971646416563,0.466048634105203,4.95595587057175,7.19755521938793e-07,1.91219546245919e-05
"37","Lefty2",8.69966495192905,2.29966992113691,0.566723740032951,4.05783234173886,4.95303040337164e-05,0.000665883699487765
"38","Oit3",12.4513061614739,2.29313198199649,0.523463350418161,4.38069251680114,1.18302715844077e-05,0.000204764800620241
"39","Sema3a",91.2422500939842,2.27537613928326,0.377145093133346,6.03315853954053,1.60785530003854e-09,1.03613650430169e-07
"40","Serinc2",144.01814685066,2.2487730524633,0.304016167128952,7.3968864014704,1.39414716089658e-13,2.65142987490026e-11
"41","Spink8",23.9443606310689,2.24279450531803,0.895236104844715,2.50525475143461,0.0122363224821691,0.051657697665266
"42","Blnk",112.226383771376,2.24220103711957,0.60418905592326,3.71109177688309,0.000206367260862923,0.00208039704997692
"43","Agmat",3.65504722654053,2.24041205074458,0.753868627118097,2.97188657300845,0.00295976007933727,0.0173722435869535
"44","Fam64a",6.30095731005529,2.23993902546527,0.5771474170862,3.88105180609467,0.000104005680939401,0.00119068910125858
"45","Ctgf",89.0250596163764,2.22352374334121,0.549345205449219,4.04758924130948,5.17478547960055e-05,0.00068740016656193
"46","Tmprss6",3.13980264907221,2.22286833395384,1.12464856021568,1.976500404293,0.0480981300001467,0.142008772690702
"47","Ppm1j",4.10901617429219,2.21780538338573,0.765752623028564,2.89624262025283,0.00377660293985573,0.0210043234119294
"48","Prg4",15.3806706403716,2.17295195610714,1.46552049490059,1.48271686657957,0.138149651471585,0.299353038029646
"49","Kcne1l",91.4281620743454,2.15371685923539,0.222116160796364,9.69635370750854,3.12466183642228e-22,5.41434459322283e-19
