"","genes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Rmrp",19.4767952720608,4.25439360385512,1.14682982109922,3.7096991424389,0.000207505684990033,0.00300332442663256
"2","Rn45s",110832.831525828,2.69433204201456,0.877692906513694,3.06978901392378,0.00214210037687946,0.0188637567137328
"3","Col6a1",937.297992979622,1.84999700083681,0.460751892636122,4.01516961819155,5.94030579733193e-05,0.00108856714878679
"4","Igfbpl1",136.526309408192,1.69532988784157,0.220331331114141,7.69445670422296,1.42096649901865e-14,3.79653829207804e-12
"5","Pappa2",34.4949067594626,1.67307999932726,0.341145789166201,4.90429620549167,9.37629106255632e-07,3.55846228138324e-05
"6","Rnaset2b (2)",33.1999491846883,1.65558532732446,0.341863488819628,4.84282581050346,1.28005499053891e-06,4.5968426394111e-05
"7","Cd24a",265.591804343491,1.56739472190327,0.280318848793808,5.59147102896453,2.25153865884915e-08,1.44607235305605e-06
"8","Dach2",42.8636718899996,1.50998959711384,0.193755442760911,7.79327576865613,6.52939024194214e-15,2.02851451725826e-12
"9","Scand1",47.9963450798255,1.47077243796425,0.257633237321471,5.70878374721907,1.13786355081064e-08,8.30640392091769e-07
"10","Tmc6",102.359108640898,1.46424605245142,0.17348772774749,8.44005550976275,3.17186993669503e-17,1.8423048036656e-14
"11","Mmp19",48.5450686002369,1.44351290057684,0.268351180757421,5.3791934006123,7.48202985391835e-08,3.98216879754961e-06
"12","Ubald2",159.832808027378,1.35495432853878,0.241435263996174,5.61208129298067,1.99907478853569e-08,1.31554877340139e-06
"13","Rprm",856.939607156451,1.33855351478287,0.0919141068372721,14.5630911384766,4.82268218004908e-48,2.14754037477586e-44
"14","Vash2",45.3422625414331,1.28807237936819,0.192977389561939,6.6747321139131,2.47684174707342e-11,3.71776729203975e-09
"15","Plin4",130.474857145407,1.2754234575392,0.263012064586163,4.84929639842195,1.23900168784885e-06,4.485589037391e-05
"16","Sox11",655.409832236131,1.26434835910793,0.108789600097808,11.62195980104,3.18739519884906e-31,1.06451031153562e-27
"17","Ctgf",48.8682121797946,1.20845990640682,0.329233304463222,3.6705275256921,0.000242050400817304,0.00341091909759321
"18","Draxin",60.1876207081672,1.154492287666,0.174723684240995,6.60753173034983,3.90780446002579e-11,5.59472414183629e-09
"19","Drd1",197.916812178291,1.14884299544249,0.177333928747727,6.47841619229457,9.2690390968438e-11,1.16816125749751e-08
"20","Adamts18",47.667292529043,1.14496926283824,0.22205697520184,5.15619588980492,2.52017251022688e-07,1.12839159440586e-05
"21","Igfbp6",51.3835334329224,1.14299471893492,0.237209196630643,4.81850929546659,1.44634788459506e-06,5.04484631600665e-05
"22","Tymp",43.9272686977013,1.10443020149384,0.195455563644793,5.65054368828791,1.59941149329565e-08,1.11866691826893e-06
"23","Fmo2",87.0984921007519,1.10023097720868,0.409559683359656,2.68637520222542,0.00722319260146695,0.0465034361267455
"24","Angptl4",27.2876309588661,1.0995682972732,0.37719323444086,2.91513260809984,0.0035553743816632,0.0274544776674212
"25","Sp9",21.6659662575478,1.0874512503088,0.327049471952452,3.32503594583667,0.000884071360970025,0.00938070636314422
"26","Zfp771",105.303851522887,1.0843950740153,0.136166077930172,7.9637681462148,1.66877811768014e-15,6.19255746502471e-13
"27","Penk",436.445079929936,1.08361175998921,0.175633537777751,6.16973144024705,6.840607996778e-10,6.66423706452285e-08
"28","Col6a2",127.320697888291,1.0316995398475,0.529967827567445,1.94672107660384,0.0515681833683676,0.183786879441861
"29","Dcx",812.377309266227,1.02556258957031,0.110535113560677,9.27816108866928,1.72428677444442e-20,2.09406791089118e-17
"30","Trim67",131.063547037726,1.01761301720314,0.161630822874894,6.29590940083743,3.05602836487238e-10,3.18949085361954e-08
"31","Hist2h3c2 (2)",19.7748161201194,0.997449056670435,0.476565651739056,2.09299401463492,0.0363496888585352,0.143752366329536
"32","Thbs4",99.7734088568511,0.996004299900744,0.196566801805785,5.06700160327598,4.04130880486319e-07,1.68515582768967e-05
"33","Erdr1",346.065031277094,0.970517640500237,0.321240859848733,3.02115254254156,0.0025181446357615,0.0212641556189241
"34","Six4",29.0543670999383,0.955633014827812,0.224621480349819,4.25441508683647,2.09596177013685e-05,0.000457515576589187
"35","Igtp",58.9639158028788,0.93004550833152,0.559607453112444,1.66196054601982,0.0965206854836178,0.278252014971008
"36","Nkx6-2",24.6779810631339,0.927784577755166,0.271830633471306,3.41309794965805,0.000642288525996639,0.00722250203601776
"37","Sema3c",712.568687684648,0.907065710158168,0.14452907516677,6.27600854092174,3.47375108971906e-10,3.56968006211976e-08
"38","Fbln5",35.2448058326701,0.901210816698626,0.385610425904097,2.33710179019579,0.0194338919611384,0.0941324737885599
"39","DXBay18",24.6366843837717,0.886356851963484,0.52819799170898,1.67807690653212,0.0933320863679546,0.272155691562659
"40","Plekhf1",32.64460001807,0.88527917828708,0.24169241669099,3.66283390437911,0.000249440288010005,0.00350765558686911
"41","Chst7",63.0535020166567,0.871794464750399,0.20479768637626,4.25685699958892,2.07320868049742e-05,0.000454032701028935
"42","Kcnk12",74.4043084270912,0.869417416766833,0.162552233561395,5.34854180541579,8.86656970192025e-08,4.62689471281065e-06
"43","Gpc2",52.4490171726221,0.865898578268279,0.172806914773296,5.01078663087206,5.42079919695087e-07,2.18780835263041e-05
"44","Sfrp1",50.9798271534791,0.864888145705415,0.181130629146489,4.77494143194269,1.79759562372196e-06,6.0336884264577e-05
